,대표코드,품명,품번,경면(전면),임가공처
297,A24-854,Coimbra Esche,14-11028-001,QT,"목림,승은산업, 제이제이데코"
298,A3-514,Coimbra,14-11028-129,UK,목림
299,A3-180,Aveiro Ash,14-11033-129,UK,목림
300,A39-582,Aveiro Ash,14-11033-129,TK,목림(유사 J)
301,B45-453,Aveiro Ash,14-11033-129,L,건창기업
302,B45-444,Frassino Ryoba,14-11037-004,L,건창기업
303,A24-172,Frassino Ryoba,14-11037-004,QT,"목림,승은산업, 제이제이데코"
304,B3-297,Frassino Ryoba,14-11037-조색9,UK,목림
305,A3-606,Alcantara Oak,14-11043-001,UK,목림
306,A24-852,Palm Beach Ash,14-11049-002,QT,"목림,승은산업, 제이제이데코"
307,B45-452,Palm Beach Ash,14-11049-002,L,건창기업
308,A3-447,Palm Beach Ash,14-11049-002,UK,목림
309,A25-213,Palm Beach Ash,14-11049-106,J,건창기업(유사 TK)
310,B7-448,Palm Beach Ash,14-11049-106,민자,
311,A3-181,Palm Beach Ash,14-11049-106,UK,목림
312,B38-164,Palm Beach Ash,14-11049-106,PNS,목림(피앤데코 경면) / 엇결
313,A24-263,Palm Beach Ash,14-11049-106,QT,"목림,승은산업, 제이제이데코"
314,B45-451,Palm Beach Ash,14-11049-106,L,건창기업
315,B45-514,Palm Beach Ash,14-11049-109,L,
316,B3-896,Palm Beach Ash,14-11049-109,UK,
317,B45-262,Palm Beach Ash,14-11049-113,L,건창기업
318,A3-147,Palm Beach Ash,14-11049-113,UK,목림
319,A25-214,Palm Beach Ash,14-11049-113,J,건창기업(유사 TK)
320,A25-215,Palm Beach Ash ,14-11049-114,J,건창기업(유사 TK)
321,B45-446,Palm Beach Ash,14-11049-114,L,건창기업
322,A3-76,Palm Beach Ash ,14-11049-114,UK,목림
323,HF2-13,Palm Beach Ash ,14-11049-114,NM,메라톤
324,A24-395,Plam Beach ash ,14-11049-114,QT,"목림,승은산업, 제이제이데코"
325,HF2-23,Palm Beach Ash,14-11049-114(중복),NM,메라톤
326,B45-447,Palm Beach Ash,14-11049-115,L,건창기업
327,B38-163,Palm Beach Ash,14-11049-115,PNS,목림(피앤데코 경면) / 엇결
328,A3-75,Palm Beach Ash ,14-11049-115,UK,목림
329,B43-12,Palm Beach Ash,14-11049-115,목림246,목림
330,A25-216,Palm Beach Ash ,14-11049-115,J,건창기업(유사 TK)
331,B59-550,Palm Beach Ash,14-11049-115,LV,건창기업
332,B24-162,Palm Beach Ash ,14-11049-115,QT,"목림,승은산업, 제이제이데코"
333,A25-217,Palm Beach Ash ,14-11049-118,J,건창기업(유사 TK)
334,A3-418,Palm Beach Ash ,14-11049-118,UK,목림
335,A3-367,Palm Beach Ash ,14-11049-120,UK,목림
336,A39-481,Palm Beach Ash ,14-11049-120,TK,목림(유사 J)
337,B45-450,Palm Beach Ash,14-11049-120,L,건창기업
338,A25-218,Palm Beach Ash ,14-11049-120,J,건창기업(유사 TK)
339,A24-394,Plam Beach ash ,14-11049-120,QT,"목림,승은산업, 제이제이데코"
340,B45-449,Palm Beach Ash,14-11049-122,L,건창기업
